role,geo,keyword,translation,rpc,rpcBand,rpcOrClass,pattern,donor,plannerVolume,plannerDeltaPct,status,note,source
донор (все гео),HU,Gyorskölcsön Azonnal,быстрый кредит сразу,0.4594,high,"$0.459 за клик (57 кл., $26.18; наш, 30 дней)",,,,,ok,,"keywords/all, research_keywords HU_1 (24.09)"
донор (все гео),HU,Mbh Bank Személyi Kölcsön Kalkulátor,калькулятор потребительского кредита банка MBH,0.4592,high,"$0.459 за клик (51 кл., $23.42; наш, 30 дней)",,,,,ok,,"keywords/all, research_keywords HU_1 (24.09)"
донор (все гео),PT,Simulador de Emprestimo,калькулятор кредита,0.3897,high,"$0.390 за клик (24 кл., $9.35; наш, 30 дней)",,,,,ok,,"keywords/all, research_keywords PT_1 (24.09)"
донор (все гео),HU,Kis Összegű Kölcsön Azonnal,небольшой кредит сразу,0.3856,high,"$0.386 за клик (32 кл., $12.34; наш, 30 дней)",,,,,ok,,"keywords/all, research_keywords HU_1 (24.09)"
донор (все гео),LT,Paskolos Vyresniems Nei 60,"кредиты для тех, кому за 60",0.2972,high,"$0.297 за клик (211 кл., $62.70; наш, 30 дней)",,,,,ok,,"keywords/all, research_keywords LT_1 (24.09)"
донор (все гео),RO,Credit de Nevoi Personale,кредит на личные нужды,0.2293,mid,"$0.229 за клик (25 кл., $5.73; наш, 30 дней)",,,,,ok,,"keywords/all, research_keywords RO_1 (24.09)"
донор (все гео),RO,Credite Nevoi Personale,кредиты на личные нужды,0.2237,mid,"$0.224 за клик (27 кл., $6.04; наш, 30 дней)",,,,,ok,,"keywords/all, research_keywords RO_1 (24.09)"
донор (все гео),RO,Credite Instant Doar Cu Buletinul,мгновенные кредиты только по паспорту,0.21,mid,"$0.210 за клик (27 кл., $5.67; наш, 30 дней)",,,,,ok,,keywords/all (24.09)
донор (все гео),AT,Kreditkarte mit 5000 € Kreditrahmen Österreich,кредитная карта с лимитом 5000 € Австрия,,high,"класс «высокий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords AT_1 (24.09)"
донор (все гео),AT,Mini Kredit Österreich,микрокредит Австрия,,high,"класс «высокий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords AT_1 (24.09)"
донор (все гео),AT,Kreditkarte mit Ratenzahlung 5.000 Euro,кредитка с рассрочкой на 5 000 €,,high,"класс «высокий», без rpc (другие команды)",,,,,ok,,research_keywords AT_1 (24.09)
донор (все гео),AU,Guaranteed Credit Card Approval $5000,кредитка на $5000 с гарантированным одобрением,,high,"класс «высокий», без rpc (другие команды)",,,,,ok,,research_keywords AU_1 (24.09)
донор (все гео),CH,Mini Kredit Twint Beantragen,мини-кредит через TWINT оформить,,high,"класс «высокий», без rpc (другие команды)",,,,,бренд запрещён — не берём,,"keywords/all, research_keywords CH_1 (24.09)"
донор (все гео),CH,Online Kredit Schweiz,онлайн-кредит Швейцария,,high,"класс «высокий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords CH_1 (24.09)"
донор (все гео),CH,Privatkredit Schweiz Beantragen,потребительский кредит Швейцария оформить,,high,"класс «высокий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords CH_1 (24.09)"
донор (все гео),CH,Mini Kredit Beantragen Twint,мини-кредит оформить через TWINT,,high,"класс «высокий», без rpc (другие команды)",,,,,бренд запрещён — не берём,,"keywords/all, research_keywords CH_1 (24.09)"
донор (все гео),CH,Kredit in 5 Minuten auf dem Konto,кредит на счёт за 5 минут,,high,"класс «высокий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords CH_1 (24.09)"
донор (все гео),CH,Online Kredit Beantragen,онлайн-кредит оформить,,high,"класс «высокий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords CH_1 (24.09)"
донор (все гео),CH,Mini-kredit Twint Beantragen,мини-кредит через TWINT оформить,,high,"класс «высокий», без rpc (другие команды)",,,,,бренд запрещён — не берём,,keywords/all (24.09)
донор (все гео),CH,Kreditkarte mit 5000,кредитная карта с лимитом 5000,,high,"класс «высокий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords CH_1 (24.09)"
донор (все гео),CH,Kreditkarte mit 5000 Verfügungsrahmen,кредитная карта с лимитом 5000,,high,"класс «высокий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords CH_1 (24.09)"
донор (все гео),CH,Online Kreditkarte Sofort,онлайн кредитная карта сразу,,high,"класс «высокий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords CH_1 (24.09)"
донор (все гео),CH,Kreditkarte mit Sofort Geld,кредитная карта с деньгами сразу,,high,"класс «высокий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords CH_1 (24.09)"
